id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1608234132685074432,1608234132685074432,2022-12-29 05:51:11 SE Asia Standard Time,2022-12-29,05:51:11,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] org org kok bisa ya bikin latar belakang skripsi smpe 8-10 halaman, sedangkan ak yg baru 2 lembar aja uda bingung mau masukin apa lgi  https://t.co/ESexOle3BF",in,[],[],['https://pbs.twimg.com/media/FlGYa6XaUAEvg9U.jpg'],146,278,3115,[],[],https://twitter.com/collegemenfess/status/1608234132685074432,False,,1,https://pbs.twimg.com/media/FlGYa6XaUAEvg9U.jpg,,,,,,,[],,,,
1608232523276124161,1608232523276124161,2022-12-29 05:44:47 SE Asia Standard Time,2022-12-29,05:44:47,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[Cm] guys kalau jdi penonton orang sempro itu gmna ya? Aku rencana hri ini mau jdi audiesn s2,in,[],[],[],3,0,2,[],[],https://twitter.com/collegemenfess/status/1608232523276124161,False,,0,,,,,,,,[],,,,
1608232420750544898,1608232420750544898,2022-12-29 05:44:23 SE Asia Standard Time,2022-12-29,05:44:23,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[Cm] Anak sasing mau tanya dong ini bener ga grammarnya? College student soon to be,in,[],[],[],2,0,2,[],[],https://twitter.com/collegemenfess/status/1608232420750544898,False,,0,,,,,,,,[],,,,
1608231386854625281,1608231386854625281,2022-12-29 05:40:16 SE Asia Standard Time,2022-12-29,05:40:16,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] aku offline seminggu cuma sekali, jarak rumah kos 2 jam (malang). kosan bayarnya 450k karena berdua sm temen. menurut kalian ini rugi ngga si? aku pengennya pp aja tapi ortu maksa suruh kos",in,[],[],[],3,0,1,[],[],https://twitter.com/collegemenfess/status/1608231386854625281,False,,0,,,,,,,,[],,,,
1608230945299247106,1608230945299247106,2022-12-29 05:38:31 SE Asia Standard Time,2022-12-29,05:38:31,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] kawan2 gimna ya cara atau step2 buat bikin daftar pustaka tapi sesuai format dari kampus di mendelay? TIA,in,[],[],[],1,0,5,[],[],https://twitter.com/collegemenfess/status/1608230945299247106,False,,0,,,,,,,,[],,,,
1608228828484349954,1608228828484349954,2022-12-29 05:30:06 SE Asia Standard Time,2022-12-29,05:30:06,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] // skripsi kenapa ya pas kalo skripsian apalagi mau bimbingan rasanya tidur ga tenang, bangun bangun kaya kaget gitu 😥",in,[],[],[],6,0,34,[],[],https://twitter.com/collegemenfess/status/1608228828484349954,False,,0,,,,,,,,[],,,,
1608228818418032640,1608228818418032640,2022-12-29 05:30:04 SE Asia Standard Time,2022-12-29,05:30:04,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] semenjak kuliah aku ngerasa orang tuaku sensitif banget, kadang suka marah-marah. Ini, aku yang perasa atau memang seperti itu😔",in,[],[],[],1,0,7,[],[],https://twitter.com/collegemenfess/status/1608228818418032640,False,,0,,,,,,,,[],,,,
1608225350139641856,1608225350139641856,2022-12-29 05:16:17 SE Asia Standard Time,2022-12-29,05:16:17,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[CM] hujan dan dingin, apakah kalian sambil nugas?",in,[],[],[],5,0,4,[],[],https://twitter.com/collegemenfess/status/1608225350139641856,False,,0,,,,,,,,[],,,,
1608220095217823746,1608220095217823746,2022-12-29 04:55:24 SE Asia Standard Time,2022-12-29,04:55:24,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,"[cm] halooo, sender hari ini sidang huhu. Minta doanya ya temen2 colle, semoga sidangnya lancar aamiin ya Allah 😭🤲🥹",in,[],[],[],26,0,42,[],[],https://twitter.com/collegemenfess/status/1608220095217823746,False,,0,,,,,,,,[],,,,
1608216483653644289,1608216483653644289,2022-12-29 04:41:03 SE Asia Standard Time,2022-12-29,04:41:03,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED ‼️,,[cm] indeks n1lai BC itu udah termasuk bagus belum?,in,[],[],[],7,0,5,[],[],https://twitter.com/collegemenfess/status/1608216483653644289,False,,0,,,,,,,,[],,,,
